tie,tying,tie
london_kangaroo,victoria,london_face
chick_bill,guy,chick_bill
atlantis_kangaroo,australia,egypt
paste,paste,paste
atlantis,atlantis,atlantis
robot,robot,robot
kangaroo,kangaroo,kangaroo
arm_button_bug,twitch,arm_charge
